xflr5 v6.39

 Calculated polar for: S1223

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.040 e 6     Ncrit =   1.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-24.500,-0.5237, 0.29675, 0.28691, 0.0136,1.0000,0.0082,-1.3509, 0.0000, 0.2503
-24.000,-0.5116, 0.29057, 0.28074, 0.0109,1.0000,0.0082,-1.3617, 0.0000, 0.2460
-23.500,-0.4992, 0.28450, 0.27468, 0.0083,1.0000,0.0083,-1.3695, 0.0000, 0.2415
-23.000,-0.4867, 0.27855, 0.26875, 0.0057,1.0000,0.0084,-1.3746, 0.0000, 0.2369
-22.500,-0.4737, 0.27299, 0.26317, 0.0032,1.0000,0.0093,-1.3522, 0.0000, 0.2323
-22.000,-0.4606, 0.26763, 0.25783, 0.0008,1.0000,0.0114,-1.3265, 0.0000, 0.2274
-21.500,-0.4474, 0.26217, 0.25241,-0.0018,1.0000,0.0141,-1.3282, 0.0000, 0.2220
-21.000,-0.4343, 0.25663, 0.24690,-0.0041,1.0000,0.0148,-1.3411, 0.0000, 0.2165
-20.500,-0.4211, 0.25112, 0.24142,-0.0063,1.0000,0.0145,-1.3420, 0.0000, 0.2111
-20.000,-0.4078, 0.24578, 0.23611,-0.0084,1.0000,0.0142,-1.3371, 0.0000, 0.2055
-19.500,-0.3944, 0.24059, 0.23096,-0.0104,1.0000,0.0140,-1.3256, 0.0000, 0.1998
-19.000,-0.3810, 0.23554, 0.22595,-0.0123,1.0000,0.0137,-1.3079, 0.0000, 0.1938
-18.500,-0.3676, 0.23056, 0.22096,-0.0141,1.0000,0.0134,-1.2845, 0.0000, 0.1877
-18.000,-0.3543, 0.22553, 0.21598,-0.0158,1.0000,0.0132,-1.2577, 0.0000, 0.1814
-17.500,-0.3412, 0.22047, 0.21097,-0.0174,1.0000,0.0129,-1.2277, 0.0000, 0.1749
-17.000,-0.3282, 0.21545, 0.20600,-0.0189,1.0000,0.0127,-1.1950, 0.0000, 0.1683
-16.500,-0.3154, 0.21046, 0.20108,-0.0203,1.0000,0.0124,-1.1602, 0.0000, 0.1614
-16.000,-0.3020, 0.20540, 0.19608,-0.0218,0.9998,0.0122,-1.1452, 0.0000, 0.1534
-15.500,-0.2835, 0.19967, 0.19039,-0.0248,0.9981,0.0120,-1.1471, 0.0000, 0.1371
-15.000,-0.2667, 0.19420, 0.18497,-0.0272,0.9967,0.0118,-1.1504, 0.0000, 0.1218
-14.500,-0.2504, 0.18887, 0.17963,-0.0294,0.9954,0.0115,-1.1547, 0.0000, 0.1053
-14.000,-0.2332, 0.18346, 0.17427,-0.0319,0.9936,0.0113,-1.1592, 0.0000, 0.0850
-13.500,-0.2152, 0.17787, 0.16874,-0.0344,0.9911,0.0111,-1.1638, 0.0000, 0.0602
-13.000,-0.1988, 0.17262, 0.16356,-0.0365,0.9891,0.0109,-1.1701, 0.0000, 0.0349
-12.500,-0.1828, 0.16736, 0.15837,-0.0384,0.9865,0.0107,-1.1772, 0.0000, 0.0070
-12.000,-0.1660, 0.16202, 0.15310,-0.0404,0.9824,0.0106,-1.1846, 0.0000,-0.0289
-11.500,-0.1512, 0.15696, 0.14813,-0.0419,0.9786,0.0104,-1.1938, 0.0000,-0.0646
-11.000,-0.1354, 0.15178, 0.14304,-0.0436,0.9725,0.0102,-1.2032, 0.0000,-0.1121
-10.500,-0.1213, 0.14682, 0.13819,-0.0448,0.9661,0.0101,-1.2144, 0.0000,-0.1620
-10.000,-0.1052, 0.14177, 0.13317,-0.0465,0.9581,0.0099,-1.2263, 0.0000,-0.2395
 -9.500,-0.0914, 0.13687, 0.12839,-0.0475,0.9463,0.0098,-1.2397, 0.0000,-0.3221
 -9.000,-0.0779, 0.13195, 0.12357,-0.0484,0.9254,0.0097,-1.2542, 0.0000,-0.4294
