xflr5 v6.39

 Calculated polar for: S1223

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.080 e 6     Ncrit =   1.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-10.000,-0.0839, 0.13257, 0.12623,-0.0537,0.9057,0.0078,-1.5602, 0.0000,-0.4521
 -9.500,-0.0698, 0.12766, 0.12137,-0.0543,0.8741,0.0077,-1.5602, 0.0000,-0.5992
 -9.000,-0.0398, 0.12125, 0.11490,-0.0593,0.8310,0.0077,-1.5528, 0.0000,-1.3601
 -8.500, 0.0809, 0.10678, 0.09932,-0.0888,0.6816,0.0076,-1.4936, 0.0000, 1.4126
 -8.000, 0.1117, 0.10177, 0.09352,-0.0936,0.5643,0.0075,-1.4900, 0.0000, 1.1336
 -7.500, 0.1266, 0.09771, 0.08931,-0.0942,0.5304,0.0074,-1.4992, 0.0000, 1.0310
 -7.000, 0.1401, 0.09375, 0.08525,-0.0943,0.5034,0.0074,-1.5118, 0.0000, 0.9543
 -6.500, 0.1520, 0.08990, 0.08136,-0.0941,0.4827,0.0074,-1.5279, 0.0000, 0.8955
 -6.000, 0.1614, 0.08621, 0.07766,-0.0932,0.4663,0.0073,-1.5479, 0.0000, 0.8503
 -5.500, 0.1675, 0.08274, 0.07415,-0.0916,0.4527,0.0073,-1.5715, 0.0000, 0.8165
 -5.000, 0.1685, 0.07954, 0.07102,-0.0889,0.4415,0.0073,-1.6039, 0.0000, 0.7944
 -4.500, 0.1721, 0.07599, 0.06755,-0.0870,0.4314,0.0072,-1.6380, 0.0000, 0.7696
 -4.000, 0.1825, 0.07186, 0.06347,-0.0869,0.4235,0.0072,-1.6723, 0.0000, 0.7377
 -3.500, 0.1999, 0.06730, 0.05894,-0.0889,0.4170,0.0072,-1.7090, 0.0000, 0.7034
 -3.000, 0.2296, 0.06197, 0.05365,-0.0941,0.4110,0.0072,-1.7475, 0.0000, 0.6660
 -2.500, 0.2817, 0.05538, 0.04701,-0.1052,0.4045,0.0073,-1.7910, 0.0000, 0.6270
 -2.000, 0.4050, 0.04448, 0.03581,-0.1355,0.3966,0.0075,-1.8864, 0.0000, 0.5862
 -1.500, 0.7719, 0.02634, 0.01483,-0.2193,0.3810,0.0167,-1.7520, 0.0000, 0.5343
 -1.000, 0.8590, 0.02548, 0.01346,-0.2262,0.3713,0.0170,-1.4196, 0.0000, 0.5126
 -0.500, 0.9404, 0.02511, 0.01269,-0.2318,0.3626,0.0177,-1.3161, 0.0000, 0.4948
  0.000, 1.0144, 0.02505, 0.01229,-0.2356,0.3569,0.0195,-1.3865, 0.0000, 0.4797
  0.500, 1.0960, 0.02482, 0.01260,-0.2417,0.3517,0.2160,-1.4634, 0.0000, 0.4671
  1.000, 1.1517, 0.02530, 0.01274,-0.2413,0.3477,0.2300,-1.5231, 0.0000, 0.4553
  1.500, 1.2071, 0.02579, 0.01303,-0.2410,0.3444,0.2399,-1.5856, 0.0000, 0.4446
  2.000, 1.2617, 0.02632, 0.01350,-0.2406,0.3410,0.2571,-1.6507, 0.0000, 0.4348
  2.500, 1.3142, 0.02693, 0.01410,-0.2398,0.3364,0.2698,-1.7148, 0.0000, 0.4258
  3.000, 1.3646, 0.02763, 0.01472,-0.2387,0.3304,0.2805,-1.7778, 0.0000, 0.4173
  3.500, 1.4132, 0.02838, 0.01547,-0.2373,0.3248,0.3003,-1.8399, 0.0000, 0.4095
  4.000, 1.4611, 0.02919, 0.01632,-0.2358,0.3212,0.3287,-1.9015, 0.0000, 0.4022
  4.500, 1.5071, 0.03008, 0.01728,-0.2340,0.3180,0.3612,-1.9618, 0.0000, 0.3952
  5.000, 1.5517, 0.03104, 0.01837,-0.2321,0.3152,0.4054,-2.0261, 0.0000, 0.3886
  5.500, 1.5973, 0.03199, 0.01971,-0.2304,0.3115,0.4686,-2.0925, 0.0000, 0.3824
  6.000, 1.6403, 0.03303, 0.02105,-0.2284,0.3063,0.5512,-2.1622, 0.0000, 0.3764
  6.500, 1.6793, 0.03409, 0.02250,-0.2255,0.3013,0.6852,-2.2327, 0.0000, 0.3706
  7.000, 1.7065, 0.03507, 0.02382,-0.2205,0.2977,1.0000,-2.3008, 0.0000, 0.3646
  7.500, 1.7408, 0.03661, 0.02550,-0.2172,0.2939,1.0000,-2.3799, 0.0000, 0.3592
  8.000, 1.7706, 0.03833, 0.02738,-0.2134,0.2889,1.0000,-2.4590, 0.0000, 0.3540
  8.500, 1.7950, 0.04029, 0.02972,-0.2089,0.2833,1.0000,-2.5441, 0.0000, 0.3489
  9.000, 1.8202, 0.04246, 0.03220,-0.2049,0.2776,1.0000,-2.6403, 0.0000, 0.3440
  9.500, 1.8388, 0.04507, 0.03511,-0.2003,0.2702,1.0000,-2.7579, 0.0000, 0.3394
 10.000, 1.8495, 0.04824, 0.03855,-0.1952,0.2609,1.0000,-2.8635, 0.0000, 0.3349
 10.500, 1.8530, 0.05211, 0.04266,-0.1899,0.2524,1.0000,-2.9561, 0.0000, 0.3308
 11.000, 1.8487, 0.05715, 0.04805,-0.1851,0.2416,1.0000,-3.0313, 0.0000, 0.3273


