xflr5 v6.39

 Calculated polar for: S1223

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.160 e 6     Ncrit =   1.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-25.000,-0.4947, 0.28789, 0.28277, 0.0009,0.9897,0.0027,-1.3157, 0.0000, 0.2224
-24.500,-0.4810, 0.28175, 0.27663,-0.0023,0.9894,0.0027,-1.3167, 0.0000, 0.2159
-24.000,-0.4668, 0.27572, 0.27059,-0.0055,0.9891,0.0026,-1.3146, 0.0000, 0.2090
-23.500,-0.4523, 0.26976, 0.26464,-0.0087,0.9888,0.0026,-1.3121, 0.0000, 0.2016
-23.000,-0.4374, 0.26387, 0.25873,-0.0119,0.9885,0.0026,-1.3095, 0.0000, 0.1937
-22.500,-0.4224, 0.25809, 0.25295,-0.0150,0.9882,0.0026,-1.3064, 0.0000, 0.1853
-22.000,-0.4087, 0.25254, 0.24742,-0.0175,0.9878,0.0026,-1.3034, 0.0000, 0.1781
-21.500,-0.3947, 0.24709, 0.24198,-0.0199,0.9873,0.0027,-1.2994, 0.0000, 0.1703
-21.000,-0.3806, 0.24160, 0.23652,-0.0224,0.9868,0.0027,-1.3103, 0.0000, 0.1619
-20.500,-0.3659, 0.23580, 0.23074,-0.0249,0.9857,0.0029,-1.3464, 0.0000, 0.1522
-20.000,-0.3516, 0.23002, 0.22496,-0.0274,0.9850,0.0035,-1.4119, 0.0000, 0.1420
-19.500,-0.3366, 0.22463, 0.21959,-0.0298,0.9842,0.0043,-1.4362, 0.0000, 0.1307
-19.000,-0.3215, 0.21909, 0.21405,-0.0328,0.9834,0.0085,-1.4647, 0.0000, 0.1166
-18.500,-0.3048, 0.21457, 0.20956,-0.0350,0.9826,0.0094,-1.3526, 0.0000, 0.1035
-18.000,-0.2880, 0.20987, 0.20488,-0.0373,0.9818,0.0109,-1.2667, 0.0000, 0.0880
-17.500,-0.2715, 0.20457, 0.19960,-0.0399,0.9810,0.0110,-1.2277, 0.0000, 0.0699
-17.000,-0.2575, 0.19928, 0.19433,-0.0414,0.9791,0.0106,-1.1960, 0.0000, 0.0551
-16.500,-0.2432, 0.19407, 0.18915,-0.0431,0.9776,0.0102,-1.1607, 0.0000, 0.0378
-16.000,-0.2284, 0.18882, 0.18392,-0.0449,0.9760,0.0099,-1.1512, 0.0000, 0.0174
-15.500,-0.2131, 0.18352, 0.17864,-0.0468,0.9744,0.0096,-1.1738, 0.0000,-0.0071
-15.000,-0.1967, 0.17802, 0.17313,-0.0490,0.9721,0.0093,-1.2045, 0.0000,-0.0389
-14.500,-0.1820, 0.17264, 0.16778,-0.0507,0.9699,0.0090,-1.2500, 0.0000,-0.0703
-14.000,-0.1689, 0.16727, 0.16243,-0.0522,0.9675,0.0086,-1.3293, 0.0000,-0.1026
