xflr5 v6.39

 Calculated polar for: S1223

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.120 e 6     Ncrit =   1.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-25.000,-0.5079, 0.29205, 0.28622, 0.0060,0.9926,0.0033,-1.2887, 0.0000, 0.2337
-24.500,-0.4948, 0.28582, 0.27999, 0.0030,0.9923,0.0032,-1.2958, 0.0000, 0.2281
-24.000,-0.4814, 0.27967, 0.27384,-0.0000,0.9920,0.0032,-1.3028, 0.0000, 0.2222
-23.500,-0.4677, 0.27359, 0.26777,-0.0030,0.9917,0.0032,-1.3098, 0.0000, 0.2160
-23.000,-0.4537, 0.26760, 0.26175,-0.0059,0.9913,0.0032,-1.3174, 0.0000, 0.2093
-22.500,-0.4395, 0.26168, 0.25584,-0.0088,0.9910,0.0032,-1.3263, 0.0000, 0.2023
-22.000,-0.4250, 0.25583, 0.25000,-0.0117,0.9906,0.0032,-1.3378, 0.0000, 0.1949
-21.500,-0.4104, 0.25004, 0.24423,-0.0145,0.9902,0.0034,-1.3539, 0.0000, 0.1869
-21.000,-0.3941, 0.24407, 0.23826,-0.0178,0.9895,0.0036,-1.3767, 0.0000, 0.1767
-20.500,-0.3778, 0.23821, 0.23241,-0.0210,0.9888,0.0040,-1.4056, 0.0000, 0.1659
-20.000,-0.3618, 0.23263, 0.22684,-0.0239,0.9883,0.0047,-1.4265, 0.0000, 0.1549
-12.500,-0.1352, 0.15391, 0.14843,-0.0545,0.9612,0.0078,-1.5269, 0.0000,-0.2021
-12.000,-0.1215, 0.14884, 0.14340,-0.0551,0.9522,0.0077,-1.5161, 0.0000,-0.2554
-11.500,-0.1094, 0.14398, 0.13860,-0.0552,0.9380,0.0076,-1.5107, 0.0000,-0.3101
-11.000,-0.0983, 0.13925, 0.13393,-0.0550,0.9177,0.0075,-1.5090, 0.0000,-0.3688
-10.500,-0.0827, 0.13419, 0.12891,-0.0562,0.8964,0.0074,-1.5055, 0.0000,-0.4961
-10.000,-0.0577, 0.12820, 0.12287,-0.0599,0.8649,0.0073,-1.4993, 0.0000,-0.8795
 -9.500, 0.1063, 0.10996, 0.10269,-0.1033,0.5923,0.0071,-1.4162, 0.0000, 1.2819
 -9.000, 0.1342, 0.10496, 0.09728,-0.1077,0.5233,0.0070,-1.4165, 0.0000, 1.0980
 -8.500, 0.1581, 0.10019, 0.09234,-0.1107,0.4901,0.0070,-1.4227, 0.0000, 0.9877
 -8.000, 0.1783, 0.09570, 0.08778,-0.1126,0.4684,0.0069,-1.4341, 0.0000, 0.9133
 -7.500, 0.1959, 0.09144, 0.08346,-0.1138,0.4522,0.0068,-1.4500, 0.0000, 0.8576
 -7.000, 0.2101, 0.08741, 0.07944,-0.1139,0.4410,0.0068,-1.4709, 0.0000, 0.8155
 -6.500, 0.2215, 0.08358, 0.07564,-0.1133,0.4324,0.0067,-1.4961, 0.0000, 0.7819
 -6.000, 0.2298, 0.07995, 0.07200,-0.1120,0.4246,0.0067,-1.5262, 0.0000, 0.7548
 -5.500, 0.2336, 0.07660, 0.06870,-0.1095,0.4180,0.0066,-1.5641, 0.0000, 0.7343
 -5.000, 0.2311, 0.07355, 0.06576,-0.1057,0.4126,0.0066,-1.6092, 0.0000, 0.7206
 -4.500, 0.2347, 0.06989, 0.06219,-0.1035,0.4071,0.0066,-1.6562, 0.0000, 0.7025
 -4.000, 0.2448, 0.06575, 0.05811,-0.1034,0.4013,0.0065,-1.7067, 0.0000, 0.6815
 -3.500, 0.2646, 0.06098, 0.05338,-0.1060,0.3955,0.0065,-1.7619, 0.0000, 0.6578
 -3.000, 0.3007, 0.05517, 0.04755,-0.1132,0.3897,0.0066,-1.8258, 0.0000, 0.6313
 -2.500, 0.3761, 0.04682, 0.03904,-0.1313,0.3825,0.0067,-1.9256, 0.0000, 0.6021
 -2.000, 0.7851, 0.02269, 0.01208,-0.2334,0.3635,0.0112,-2.0152, 0.0000, 0.5484
 -1.500, 0.8602, 0.02216, 0.01116,-0.2376,0.3565,0.0157,-1.6075, 0.0000, 0.5264
